id,Item name*,Category,Current stock,Selling price,Sales tax included,Purchase price,Purchase tax included,HSN,GST tax rate (%),MRP
7ca10794-f311-44aa-9ae5-63c27b0adcf5,Kazoo Natkhat 250g 200.00,,8,200,With tax,172.5,With tax,,0,200
ba44be21-9b8e-472a-b905-c883ca524564,Kazoo Natkhat 250g 200.00,,8,200,With tax,172.5,With tax,,0,200
d55014db-ff35-47db-b0e4-d93733a0625a,Kelloggs Chocos 110g 55.00,,3,54,Without tax,50,Without tax,,0,55
f6fd91ee-f8cd-477b-80f5-bfd786c99ce2,Kelloggs Chocos 26g 10.00,,64,10,Without tax,8.75,Without tax,,0,10
ff71f9ee-e94a-4b6a-8d2e-babe72326e32,Kelloggs Chocos 385g 170.00,,3,164,Without tax,154.5,Without tax,,0,170
9b2b8f1c-96f9-44de-bedb-9a7f5f3f508e,Kelloggs Chocos 700g 299.00,,2,290,Without tax,271.82,Without tax,,0,299
280b0c32-f709-4765-aa5e-2b0bf8570c43,Kelloggs Chocos Crunchy Bites 375g 180.00,,2,176,Without tax,163.64,Without tax,,0,180
60d03581-0831-403b-be0c-5c1bfc579a67,Kelloggs Chocos Duet 375g 180.00,,2,176,Without tax,163.64,Without tax,,0,180
c0e68a3a-fcbc-46d2-88ce-02d0ff65437c,Kelloggs Chocos Ladoo 375g 190.00,,3,184,Without tax,172.72,Without tax,,0,190
fd3f1946-4a6d-4c1f-bd0a-7e12424a930e,Kelloggs Corn Flakes 100g 45.00,,3,44,Without tax,40.91,Without tax,,0,45
75bc9b9f-21a8-47c0-8596-e1a5c0d6a9fb,Kelloggs Corn Flakes Pouch 99.00,,6,95,Without tax,90,Without tax,,0,99
a243ec87-3fd7-4fd3-8722-265bc6b80e2b,Kelloggs Corn Flakes Real Honey 300 Gm,,3,126,Without tax,127.27,Without tax,,0,140
5b8704b4-c232-4451-96dc-a9fab6fd2e49,Kelloggs Cornflakes 180.00,,0,174,Without tax,163.63,Without tax,,0,180
a99806b9-4b6f-4816-a6b1-3957b01d0613,Kelloggs Magic Hearts 325g 185.00,,3,180,Without tax,168.18,Without tax,,0,185
2d855c07-3292-4c33-b41f-bb71eb8cd2d0,Kelloggs Muesli Fruit & Nut 500g 315.00,,3,300,Without tax,286.36,Without tax,,0,315
